,NRMSE,Posterior Contraction,Calibration Error
$v$,0.07866478244604652,0.9362452728823629,0.022763157894736874
$v_\theta$,0.11904370850708541,0.8147979466241747,0.02513157894736845
$a$,0.03927334560854111,0.9728232443653355,0.006842105263157917
$\tau$,0.050094557868893455,0.9748944624492026,0.011184210526315796
$s_v$,0.2253633948735796,0.21257146980753722,0.01302631578947372
$s_\tau$,0.07465070215437955,0.9696165495993379,0.02526315789473682
$v$ -- $u_1$ | $c_{1}$,0.10096262629001211,0.9142273470911498,0.02776315789473685
$v_\theta$ -- $u_1$ | $c_{1}$,0.1014153261423123,0.9039513084199349,0.03697368421052631
$a$ -- $u_1$ | $c_{1}$,0.04528471875651807,0.9833007610811331,0.011052631578947397
$\tau$ -- $u_1$ | $c_{1}$,0.03403353455707127,0.9931105390073596,0.020657894736842125
$s_v$ -- $u_1$ | $c_{1}$,0.17590190321234947,0.4771550482181557,0.03144736842105267
$v$ -- $u_2$ | $c_{1}$,0.08739980175101254,0.9339125632650771,0.010657894736842088
$v_\theta$ -- $u_2$ | $c_{1}$,0.11779862164671064,0.8949778197167175,0.01407894736842108
$a$ -- $u_2$ | $c_{1}$,0.034419723859333576,0.9856446815636396,0.01960526315789471
$\tau$ -- $u_2$ | $c_{1}$,0.03786162230671266,0.9915769151290923,0.04250000000000001
$v$ -- $u_1:u_2$ | $c_{1}$,0.12438357860701704,0.869404966640025,0.019473684210526282
$v_\theta$ -- $u_1:u_2$ | $c_{1}$,0.14923560547689332,0.7946131931140397,0.012105263157894675
$a$ -- $u_1:u_2$ | $c_{1}$,0.05223157448887365,0.9742161130716133,0.015789473684210575
